lakeid,year4,daynum,sampledate,depth,rep,sta,event,wtemp,o2,o2sat
WI,1996,44,2/13/96,0,1,1,,1.5,8.4,63.6
WI,1996,44,2/13/96,1,1,1,,4,6.4,51.8
WI,1996,44,2/13/96,2,1,1,,4.2,4.2,34.2
WI,1996,44,2/13/96,3,1,1,,3.3,3.7,29.4
WI,1996,78,3/18/96,0,1,1,,,,
WI,1996,103,4/12/96,0,1,1,,9.8,12.9,120.7
WI,1996,103,4/12/96,1,1,1,,9.8,13,121.6
WI,1996,103,4/12/96,2,1,1,,9.8,13,121.6
WI,1996,103,4/12/96,3,1,1,,9.8,12.9,120.7
WI,1996,123,5/2/96,0,1,1,,10.4,11.5,109.1
WI,1996,123,5/2/96,1,1,1,,10.4,11.5,109.1
WI,1996,123,5/2/96,2,1,1,,10.4,11.5,109.1
WI,1996,123,5/2/96,3,1,1,,10.4,11.5,109.1
WI,1996,136,5/15/96,0,1,1,,12.5,9.9,98.6
WI,1996,136,5/15/96,1,1,1,,12.2,9.9,97.9
WI,1996,136,5/15/96,2,1,1,,12,9.6,94.5
WI,1996,136,5/15/96,3,1,1,,11.9,9.1,89.4
WI,1996,151,5/30/96,0,1,1,,18.7,10.4,118.2
WI,1996,151,5/30/96,1,1,1,,17.2,9.5,104.7
WI,1996,151,5/30/96,2,1,1,,15.6,9.7,103.4
WI,1996,151,5/30/96,3,1,1,,14.2,9.4,97.2
WI,1996,151,5/30/96,3.25,1,1,,14.2,9.3,96.2
WI,1996,163,6/11/96,0,1,1,,19,10.4,119
WI,1996,163,6/11/96,1,1,1,,18.8,10.2,116.2
WI,1996,163,6/11/96,2,1,1,,18.6,10.3,116.9
WI,1996,163,6/11/96,3,1,1,,17.4,8.3,91.9
WI,1996,163,6/11/96,3.5,1,1,,17.1,7.2,79.2
WI,1996,176,6/24/96,0,1,1,,22.6,9.1,111.7
WI,1996,176,6/24/96,1,1,1,,22.6,9.1,111.7
WI,1996,176,6/24/96,2,1,1,,22.6,9,110.5
WI,1996,176,6/24/96,3,1,1,,22.5,8.8,107.8
WI,1996,192,7/10/96,0,1,1,,23.6,7.8,97.6
WI,1996,192,7/10/96,1,1,1,,23.5,7.5,93.7
WI,1996,192,7/10/96,2,1,1,,23.4,6.9,86
WI,1996,192,7/10/96,3,1,1,,23.1,6.1,75.6
WI,1996,192,7/10/96,3.5,1,1,,23.1,5.8,71.9
WI,1996,206,7/24/96,0,1,1,,23.1,8.9,110.3
WI,1996,206,7/24/96,1,1,1,,23.1,8.7,107.8
WI,1996,206,7/24/96,2,1,1,,23.1,8.7,107.8
WI,1996,206,7/24/96,3,1,1,,23.1,8.5,105.4
WI,1996,220,8/7/96,0,1,1,,26.4,10.1,133.1
WI,1996,220,8/7/96,1,1,1,,26.4,9.9,130.5
WI,1996,220,8/7/96,2,1,1,,26.3,9.6,126.3
WI,1996,220,8/7/96,3,1,1,,23.4,0.3,3.7
WI,1996,220,8/7/96,3.5,1,1,,23,0.2,2.5
WI,1996,234,8/21/96,0,1,1,,26,12,157
WI,1996,234,8/21/96,1,1,1,,25.3,12,155
WI,1996,234,8/21/96,2,1,1,,23.9,8.2,103.2
WI,1996,234,8/21/96,3,1,1,,23.6,4.5,56.3
WI,1996,250,9/6/96,0,1,1,,25.8,12.1,157.7
WI,1996,250,9/6/96,1,1,1,,25.8,12.1,157.7
WI,1996,250,9/6/96,2,1,1,,25.6,11.2,145.5
WI,1996,250,9/6/96,3,1,1,,23.9,2.1,26.4
WI,1996,261,9/17/96,0,1,1,,,,
WI,1996,275,10/1/96,0,1,1,,16.4,10.8,117.1
WI,1996,275,10/1/96,1,1,1,,16.3,10.8,116.8
WI,1996,275,10/1/96,2,1,1,,16.2,10.7,115.5
WI,1996,275,10/1/96,3,1,1,,16.1,10.4,112
WI,1996,275,10/1/96,3.5,1,1,,16,9.8,105.3
WI,1996,289,10/15/96,0,1,1,,14.4,11.4,118.4
WI,1996,289,10/15/96,1,1,1,,13.6,11.3,115.3
WI,1996,289,10/15/96,2,1,1,,13.1,11.2,113
WI,1996,289,10/15/96,3,1,1,,13,10.9,109.8
WI,1996,312,11/7/96,0,1,1,,5.5,12.2,102.7
WI,1996,312,11/7/96,1,1,1,,5.5,12.1,101.9
WI,1996,312,11/7/96,2,1,1,,5.5,12.1,101.9
WI,1996,312,11/7/96,2.5,1,1,,5.5,11.7,98.5
WI,1996,312,11/7/96,3,1,1,,,,
WI,1997,15,1/15/97,0,1,1,,0.6,13.8,101.9
WI,1997,15,1/15/97,1,1,1,,3.2,9.5,75.3
WI,1997,15,1/15/97,2,1,1,,4,6,48.6
WI,1997,15,1/15/97,3,1,1,,4.1,3.8,30.9
WI,1997,100,4/10/97,0,1,1,,6.6,11.9,103
WI,1997,100,4/10/97,1,1,1,,6.6,12.2,105.6
WI,1997,100,4/10/97,2,1,1,,6.6,12.3,106.5
WI,1997,100,4/10/97,3,1,1,,6.4,12.2,105.1
WI,1997,100,4/10/97,3.5,1,1,,6.4,11.1,95.6
WI,1997,125,5/5/97,0,1,1,,13.7,9.8,100.2
WI,1997,125,5/5/97,1,1,1,,13.6,9.8,100
WI,1997,125,5/5/97,2,1,1,,13.5,9.8,99.8
WI,1997,125,5/5/97,3,1,1,,13.5,9.7,98.8
WI,1997,125,5/5/97,3.5,1,1,,13.5,9.2,93.7
WI,1997,136,5/16/97,0,1,1,,12,14.1,138.8
WI,1997,136,5/16/97,1,1,1,,12,13.3,130.9
WI,1997,136,5/16/97,2,1,1,,12,12.1,119.1
WI,1997,136,5/16/97,3,1,1,,12,11.6,114.2
WI,1997,162,6/11/97,0,1,1,,24,9.8,123.6
WI,1997,162,6/11/97,1,1,1,,23.9,9.8,123.3
WI,1997,162,6/11/97,2,1,1,,23.8,9.6,120.6
WI,1997,162,6/11/97,3,1,1,,23.3,8.2,102
WI,1997,162,6/11/97,3.5,1,1,,23.3,0.1,1.2
WI,1997,163,6/12/97,0,1,1,,24.1,11.3,142.7
WI,1997,163,6/12/97,1,1,1,,22.8,12.5,154.1
WI,1997,163,6/12/97,2,1,1,,21.5,10.8,129.8
WI,1997,163,6/12/97,3,1,1,,19.9,6.7,78
WI,1997,175,6/24/97,0,1,1,,27,9.8,130.6
WI,1997,175,6/24/97,1,1,1,,26.8,8.8,116.8
WI,1997,175,6/24/97,2,1,1,,25,8.4,107.9
WI,1997,175,6/24/97,3,1,1,,23.3,2.4,29.9
WI,1997,175,6/24/97,3.5,1,1,,23.1,2.2,27.3
WI,1997,189,7/8/97,0,1,1,,23,10.6,131.1
WI,1997,189,7/8/97,1,1,1,,22.9,10.6,130.9
WI,1997,189,7/8/97,2,1,1,,22.6,10.5,128.9
WI,1997,189,7/8/97,3,1,1,,21,7.4,88.1
WI,1997,189,7/8/97,3.5,1,1,,20.3,6.3,74
WI,1997,206,7/25/97,0,1,1,,25,10.3,132.3
WI,1997,206,7/25/97,1,1,1,,25.1,10.2,131.3
WI,1997,206,7/25/97,2,1,1,,24.1,7,88.4
WI,1997,206,7/25/97,3,1,1,,23.5,2.8,35
WI,1997,231,8/19/97,0,1,1,,21.2,9.9,118.3
WI,1997,231,8/19/97,1,1,1,,21.3,9.9,118.5
WI,1997,231,8/19/97,2,1,1,,21.3,9.7,116.1
WI,1997,231,8/19/97,3,1,1,,20.8,3.3,39.1
WI,1997,254,9/11/97,0,1,1,,20.5,10.3,121.4
WI,1997,254,9/11/97,1,1,1,,20.5,10.3,121.4
WI,1997,254,9/11/97,2,1,1,,20.4,10.2,120
WI,1997,254,9/11/97,3,1,1,,19.9,9.4,109.5
WI,1997,301,10/28/97,0,1,1,,5.8,12.5,106.1
WI,1997,301,10/28/97,1,1,1,,5.7,12.4,104.9
WI,1997,301,10/28/97,2,1,1,,5.7,12.4,104.9
WI,1997,301,10/28/97,3,1,1,,5.7,12.4,104.9
WI,1997,324,11/20/97,0,1,1,,1.6,13.8,104.8
WI,1997,324,11/20/97,1,1,1,,1.2,13.8,103.6
WI,1997,324,11/20/97,2,1,1,,1.2,13.7,102.9
WI,1997,324,11/20/97,3,1,1,,1.2,13.7,102.9
WI,1998,37,2/6/98,0,1,2,,,,
WI,1998,84,3/25/98,0,1,1,,5.1,16.6,138.3
WI,1998,84,3/25/98,1,1,1,,5.1,16.6,138.3
WI,1998,84,3/25/98,2,1,1,,5.1,16.7,139.2
WI,1998,84,3/25/98,3,1,1,,5.1,16.7,139.2
WI,1998,105,4/15/98,0,1,1,,9.3,6,55.5
WI,1998,105,4/15/98,1,1,1,,10.5,6,57.1
WI,1998,105,4/15/98,2,1,1,,10.5,6,57.1
WI,1998,113,4/23/98,0,1,1,,14.8,10.3,107.9
WI,1998,113,4/23/98,1,1,1,,14.5,10.4,108.2
WI,1998,113,4/23/98,2,1,1,,13.2,10.4,105.2
WI,1998,113,4/23/98,3,1,1,,12.3,10.8,107.1
WI,1998,113,4/23/98,3.5,1,1,,11.8,9,88.2
WI,1998,132,5/12/98,0,1,1,,19.1,11.3,129.5
WI,1998,132,5/12/98,1,1,1,,18.8,11.3,128.7
WI,1998,132,5/12/98,2,1,1,,18.7,11.3,128.5
WI,1998,132,5/12/98,3,1,1,,16.8,5.7,62.3
WI,1998,144,5/24/98,0,1,1,,20.8,11.2,132.8
WI,1998,144,5/24/98,1,1,1,,20.6,11,129.9
WI,1998,144,5/24/98,2,1,1,,19.2,9.7,111.4
WI,1998,144,5/24/98,3,1,1,,17.7,6.3,70.2
WI,1998,161,6/10/98,0,1,1,,18.3,8.7,98.1
WI,1998,161,6/10/98,1,1,1,,17.6,8.3,92.3
WI,1998,161,6/10/98,2,1,1,,17.4,7.9,87.4
WI,1998,161,6/10/98,3,1,1,,17.1,5.9,64.9
WI,1998,175,6/24/98,0,1,1,,26,11.7,153.1
WI,1998,175,6/24/98,1,1,1,,25.9,11.8,154.1
WI,1998,175,6/24/98,2,1,1,,25.5,11.4,147.8
WI,1998,175,6/24/98,3,1,1,,22.9,3.4,42
WI,1998,175,6/24/98,3.2,1,1,,22.8,3.4,41.9
WI,1998,188,7/7/98,0,1,1,,24.8,10.1,129.3
WI,1998,188,7/7/98,1,1,1,,24.3,10.3,130.6
WI,1998,188,7/7/98,2,1,1,,24,9.9,124.8
WI,1998,188,7/7/98,3,1,1,,23.9,8.6,108.2
