"Plot Title: 2.10"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20459625, SEN S/N: 20459625)","Intensity, lum/ft² (LGR S/N: 20459625, SEN S/N: 20459625, LBL: Winter_buoy_light)","Coupler Attached (LGR S/N: 20459625)","Coupler Detached (LGR S/N: 20459625)","Host Connected (LGR S/N: 20459625)","End Of File (LGR S/N: 20459625)"
1,06/21/22 10:00:00 AM,24.351,4.0,,,,
2,06/21/22 10:30:00 AM,27.764,43.0,,,,
3,06/21/22 11:00:00 AM,44.211,400.0,,,,
4,06/21/22 11:30:00 AM,54.206,1152.0,,,,
5,06/21/22 12:00:00 PM,25.708,1984.0,,,,
6,06/21/22 12:30:00 PM,25.902,1600.0,,,,
7,06/21/22 01:00:00 PM,25.902,2176.0,,,,
8,06/21/22 01:30:00 PM,26.097,1664.0,,,,
9,06/21/22 02:00:00 PM,26.097,1728.0,,,,
10,06/21/22 02:30:00 PM,26.292,1600.0,,,,
11,06/21/22 03:00:00 PM,26.390,1536.0,,,,
12,06/21/22 03:30:00 PM,26.390,1152.0,,,,
13,06/21/22 04:00:00 PM,26.488,992.0,,,,
14,06/21/22 04:30:00 PM,26.585,384.0,,,,
15,06/21/22 05:00:00 PM,26.488,576.0,,,,
16,06/21/22 05:30:00 PM,26.195,432.0,,,,
17,06/21/22 06:00:00 PM,26.292,368.0,,,,
18,06/21/22 06:30:00 PM,26.390,256.0,,,,
19,06/21/22 07:00:00 PM,26.292,78.0,,,,
20,06/21/22 07:30:00 PM,26.488,384.0,,,,
21,06/21/22 08:00:00 PM,26.488,232.0,,,,
22,06/21/22 08:30:00 PM,26.390,67.0,,,,
23,06/21/22 09:00:00 PM,26.390,1.0,,,,
24,06/21/22 09:30:00 PM,26.390,0.0,,,,
25,06/21/22 10:00:00 PM,26.390,0.0,,,,
26,06/21/22 10:30:00 PM,26.292,0.0,,,,
27,06/21/22 11:00:00 PM,26.292,0.0,,,,
28,06/21/22 11:30:00 PM,26.195,0.0,,,,
29,06/22/22 12:00:00 AM,26.195,0.0,,,,
30,06/22/22 12:30:00 AM,26.097,0.0,,,,
31,06/22/22 01:00:00 AM,26.097,0.0,,,,
32,06/22/22 01:30:00 AM,26.000,0.0,,,,
33,06/22/22 02:00:00 AM,25.902,0.0,,,,
34,06/22/22 02:30:00 AM,25.902,0.0,,,,
35,06/22/22 03:00:00 AM,25.805,0.0,,,,
36,06/22/22 03:30:00 AM,25.805,0.0,,,,
37,06/22/22 04:00:00 AM,25.805,0.0,,,,
38,06/22/22 04:30:00 AM,25.708,0.0,,,,
39,06/22/22 05:00:00 AM,25.708,0.0,,,,
40,06/22/22 05:30:00 AM,25.610,28.0,,,,
41,06/22/22 06:00:00 AM,25.610,107.0,,,,
42,06/22/22 06:30:00 AM,25.610,144.0,,,,
43,06/22/22 07:00:00 AM,25.708,352.0,,,,
44,06/22/22 07:30:00 AM,25.708,512.0,,,,
45,06/22/22 08:00:00 AM,25.902,896.0,,,,
46,06/22/22 08:30:00 AM,25.902,896.0,,,,
47,06/22/22 09:00:00 AM,26.097,1856.0,,,,
48,06/22/22 09:30:00 AM,26.195,2304.0,,,,
49,06/22/22 10:00:00 AM,26.390,2048.0,,,,
50,06/22/22 10:30:00 AM,26.585,2176.0,,,,
51,06/22/22 11:00:00 AM,26.879,2432.0,,,,
52,06/22/22 11:30:00 AM,27.075,3072.0,,,,
53,06/22/22 12:00:00 PM,27.272,2944.0,,,,
54,06/22/22 12:30:00 PM,27.468,3072.0,,,,
55,06/22/22 01:00:00 PM,27.567,2176.0,,,,
56,06/22/22 01:30:00 PM,27.764,2432.0,,,,
57,06/22/22 02:00:00 PM,27.862,2176.0,,,,
58,06/22/22 02:30:00 PM,28.060,2432.0,,,,
59,06/22/22 03:00:00 PM,28.060,2048.0,,,,
60,06/22/22 03:30:00 PM,28.258,2176.0,,,,
61,06/22/22 04:00:00 PM,28.159,2176.0,,,,
62,06/22/22 04:30:00 PM,28.060,1216.0,,,,
63,06/22/22 05:00:00 PM,27.961,1088.0,,,,
64,06/22/22 05:30:00 PM,28.060,800.0,,,,
65,06/22/22 06:00:00 PM,27.764,672.0,,,,
66,06/22/22 06:30:00 PM,27.468,108.0,,,,
67,06/22/22 07:00:00 PM,27.468,256.0,,,,
68,06/22/22 07:30:00 PM,27.272,144.0,,,,
69,06/22/22 08:00:00 PM,27.075,69.0,,,,
70,06/22/22 08:30:00 PM,26.977,17.0,,,,
71,06/22/22 09:00:00 PM,26.977,0.0,,,,
72,06/22/22 09:30:00 PM,26.879,0.0,,,,
73,06/22/22 10:00:00 PM,26.781,0.0,,,,
74,06/22/22 10:30:00 PM,26.781,0.0,,,,
75,06/22/22 11:00:00 PM,26.683,0.0,,,,
76,06/22/22 11:30:00 PM,26.585,0.0,,,,
77,06/23/22 12:00:00 AM,26.585,0.0,,,,
78,06/23/22 12:30:00 AM,26.488,0.0,,,,
79,06/23/22 01:00:00 AM,26.488,0.0,,,,
80,06/23/22 01:30:00 AM,26.390,0.0,,,,
81,06/23/22 02:00:00 AM,26.390,0.0,,,,
82,06/23/22 02:30:00 AM,26.292,0.0,,,,
83,06/23/22 03:00:00 AM,26.195,0.0,,,,
84,06/23/22 03:30:00 AM,26.195,0.0,,,,
85,06/23/22 04:00:00 AM,26.097,0.0,,,,
86,06/23/22 04:30:00 AM,26.097,0.0,,,,
87,06/23/22 05:00:00 AM,26.000,0.0,,,,
88,06/23/22 05:30:00 AM,25.902,23.0,,,,
89,06/23/22 06:00:00 AM,25.902,99.0,,,,
90,06/23/22 06:30:00 AM,26.000,200.0,,,,
91,06/23/22 07:00:00 AM,26.000,400.0,,,,
92,06/23/22 07:30:00 AM,26.097,480.0,,,,
93,06/23/22 08:00:00 AM,26.292,960.0,,,,
94,06/23/22 08:30:00 AM,26.292,672.0,,,,
95,06/23/22 09:00:00 AM,26.585,1536.0,,,,
96,06/23/22 09:30:00 AM,26.781,1984.0,,,,
97,06/23/22 10:00:00 AM,26.977,2304.0,,,,
98,06/23/22 10:30:00 AM,27.173,2944.0,,,,
99,06/23/22 11:00:00 AM,27.272,2560.0,,,,
100,06/23/22 11:30:00 AM,27.468,3200.0,,,,
101,06/23/22 12:00:00 PM,27.961,3456.0,,,,
102,06/23/22 12:30:00 PM,28.555,3456.0,,,,
103,06/23/22 01:00:00 PM,28.853,3200.0,,,,
104,06/23/22 01:30:00 PM,28.953,1856.0,,,,
105,06/23/22 02:00:00 PM,28.853,1792.0,,,,
106,06/23/22 02:30:00 PM,28.953,2048.0,,,,
107,06/23/22 03:00:00 PM,28.953,3072.0,,,,
108,06/23/22 03:30:00 PM,28.953,2688.0,,,,
109,06/23/22 04:00:00 PM,28.953,2560.0,,,,
110,06/23/22 04:30:00 PM,28.456,1856.0,,,,
111,06/23/22 05:00:00 PM,28.060,1600.0,,,,
112,06/23/22 05:30:00 PM,27.862,1024.0,,,,
113,06/23/22 06:00:00 PM,27.665,896.0,,,,
114,06/23/22 06:30:00 PM,27.468,672.0,,,,
115,06/23/22 07:00:00 PM,27.272,448.0,,,,
116,06/23/22 07:30:00 PM,27.173,240.0,,,,
117,06/23/22 08:00:00 PM,27.075,85.0,,,,
118,06/23/22 08:30:00 PM,26.977,18.0,,,,
119,06/23/22 09:00:00 PM,26.879,0.0,,,,
120,06/23/22 09:30:00 PM,26.879,0.0,,,,
121,06/23/22 10:00:00 PM,26.879,0.0,,,,
122,06/23/22 10:30:00 PM,26.879,0.0,,,,
123,06/23/22 11:00:00 PM,26.879,0.0,,,,
124,06/23/22 11:30:00 PM,27.075,0.0,,,,
125,06/24/22 12:00:00 AM,26.977,0.0,,,,
126,06/24/22 12:30:00 AM,26.977,0.0,,,,
127,06/24/22 01:00:00 AM,26.879,0.0,,,,
128,06/24/22 01:30:00 AM,26.879,0.0,,,,
129,06/24/22 02:00:00 AM,26.781,0.0,,,,
130,06/24/22 02:30:00 AM,26.781,0.0,,,,
131,06/24/22 03:00:00 AM,26.683,0.0,,,,
132,06/24/22 03:30:00 AM,26.683,0.0,,,,
133,06/24/22 04:00:00 AM,26.683,0.0,,,,
134,06/24/22 04:30:00 AM,26.585,0.0,,,,
135,06/24/22 05:00:00 AM,26.585,0.0,,,,
136,06/24/22 05:30:00 AM,26.585,15.0,,,,
137,06/24/22 06:00:00 AM,26.488,53.0,,,,
138,06/24/22 06:30:00 AM,26.488,113.0,,,,
139,06/24/22 07:00:00 AM,26.488,152.0,,,,
140,06/24/22 07:30:00 AM,26.488,208.0,,,,
141,06/24/22 08:00:00 AM,26.585,272.0,,,,
142,06/24/22 08:30:00 AM,26.683,336.0,,,,
143,06/24/22 09:00:00 AM,26.879,576.0,,,,
144,06/24/22 09:30:00 AM,26.977,512.0,,,,
145,06/24/22 10:00:00 AM,27.075,576.0,,,,
146,06/24/22 10:30:00 AM,27.075,800.0,,,,
147,06/24/22 11:00:00 AM,27.272,1280.0,,,,
