"Plot Title: UM-ARB_Winter22"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 21086709, SEN S/N: 21086709)","Intensity, lum/ft² (LGR S/N: 21086709, SEN S/N: 21086709)","Coupler Attached (LGR S/N: 21086709)","Host Connected (LGR S/N: 21086709)","End Of File (LGR S/N: 21086709)"
1,06/21/22 10:00:00 AM,23.773,0.0,,,
2,06/21/22 10:30:00 AM,30.457,116.0,,,
3,06/21/22 11:00:00 AM,46.979,2560.0,,,
4,06/21/22 11:30:00 AM,46.083,512.0,,,
5,06/21/22 12:00:00 PM,48.288,896.0,,,
6,06/21/22 12:30:00 PM,24.641,6.0,,,
7,06/21/22 01:00:00 PM,24.255,7.0,,,
8,06/21/22 01:30:00 PM,24.351,11.0,,,
9,06/21/22 02:00:00 PM,24.545,12.0,,,
10,06/21/22 02:30:00 PM,24.545,21.0,,,
11,06/21/22 03:00:00 PM,24.738,15.0,,,
12,06/21/22 03:30:00 PM,24.835,25.0,,,
13,06/21/22 04:00:00 PM,24.835,25.0,,,
14,06/21/22 04:30:00 PM,24.931,20.0,,,
15,06/21/22 05:00:00 PM,24.931,21.0,,,
16,06/21/22 05:30:00 PM,24.931,18.0,,,
17,06/21/22 06:00:00 PM,24.931,14.0,,,
18,06/21/22 06:30:00 PM,24.931,9.0,,,
19,06/21/22 07:00:00 PM,24.931,1.0,,,
20,06/21/22 07:30:00 PM,25.028,8.0,,,
21,06/21/22 08:00:00 PM,25.028,4.0,,,
22,06/21/22 08:30:00 PM,25.125,1.0,,,
23,06/21/22 09:00:00 PM,25.125,0.0,,,
24,06/21/22 09:30:00 PM,25.319,0.0,,,
25,06/21/22 10:00:00 PM,25.416,0.0,,,
26,06/21/22 10:30:00 PM,25.513,0.0,,,
27,06/21/22 11:00:00 PM,25.610,0.0,,,
28,06/21/22 11:30:00 PM,25.708,0.0,,,
29,06/22/22 12:00:00 AM,25.805,0.0,,,
30,06/22/22 12:30:00 AM,25.805,0.0,,,
31,06/22/22 01:00:00 AM,25.805,0.0,,,
32,06/22/22 01:30:00 AM,25.708,0.0,,,
33,06/22/22 02:00:00 AM,25.610,0.0,,,
34,06/22/22 02:30:00 AM,25.513,0.0,,,
35,06/22/22 03:00:00 AM,25.416,0.0,,,
36,06/22/22 03:30:00 AM,25.319,0.0,,,
37,06/22/22 04:00:00 AM,25.319,0.0,,,
38,06/22/22 04:30:00 AM,25.222,0.0,,,
39,06/22/22 05:00:00 AM,25.125,0.0,,,
40,06/22/22 05:30:00 AM,25.028,0.0,,,
