"Plot Title: 4.10"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 21086716, SEN S/N: 21086716)","Intensity, lum/ft² (LGR S/N: 21086716, SEN S/N: 21086716)","Coupler Attached (LGR S/N: 21086716)","Host Connected (LGR S/N: 21086716)","End Of File (LGR S/N: 21086716)"
1,06/21/22 10:00:00 AM,23.004,0.0,,,
2,06/21/22 10:30:00 AM,25.610,81.0,,,
3,06/21/22 11:00:00 AM,45.956,10752.0,,,
4,06/21/22 11:30:00 AM,39.729,11264.0,,,
5,06/21/22 12:00:00 PM,26.097,1536.0,,,
6,06/21/22 12:30:00 PM,26.195,1728.0,,,
7,06/21/22 01:00:00 PM,26.292,1536.0,,,
8,06/21/22 01:30:00 PM,26.585,1984.0,,,
9,06/21/22 02:00:00 PM,26.585,4608.0,,,
10,06/21/22 02:30:00 PM,26.781,1344.0,,,
11,06/21/22 03:00:00 PM,27.173,4352.0,,,
12,06/21/22 03:30:00 PM,27.173,1728.0,,,
13,06/21/22 04:00:00 PM,27.173,1024.0,,,
14,06/21/22 04:30:00 PM,27.075,672.0,,,
15,06/21/22 05:00:00 PM,27.272,2176.0,,,
16,06/21/22 05:30:00 PM,27.075,3584.0,,,
17,06/21/22 06:00:00 PM,26.879,1408.0,,,
18,06/21/22 06:30:00 PM,26.683,1344.0,,,
19,06/21/22 07:00:00 PM,26.390,94.0,,,
20,06/21/22 07:30:00 PM,26.585,368.0,,,
21,06/21/22 08:00:00 PM,26.488,176.0,,,
22,06/21/22 08:30:00 PM,26.488,56.0,,,
23,06/21/22 09:00:00 PM,26.488,0.0,,,
24,06/21/22 09:30:00 PM,26.390,0.0,,,
25,06/21/22 10:00:00 PM,26.390,0.0,,,
26,06/21/22 10:30:00 PM,26.390,0.0,,,
27,06/21/22 11:00:00 PM,26.292,0.0,,,
28,06/21/22 11:30:00 PM,26.195,0.0,,,
29,06/22/22 12:00:00 AM,26.195,0.0,,,
30,06/22/22 12:30:00 AM,26.097,0.0,,,
31,06/22/22 01:00:00 AM,26.097,0.0,,,
32,06/22/22 01:30:00 AM,26.000,0.0,,,
33,06/22/22 02:00:00 AM,26.000,0.0,,,
34,06/22/22 02:30:00 AM,25.902,0.0,,,
35,06/22/22 03:00:00 AM,25.902,0.0,,,
36,06/22/22 03:30:00 AM,25.805,0.0,,,
37,06/22/22 04:00:00 AM,25.805,0.0,,,
38,06/22/22 04:30:00 AM,25.708,0.0,,,
39,06/22/22 05:00:00 AM,25.708,0.0,,,
40,06/22/22 05:30:00 AM,25.610,19.0,,,
41,06/22/22 06:00:00 AM,25.708,75.0,,,
42,06/22/22 06:30:00 AM,25.610,91.0,,,
43,06/22/22 07:00:00 AM,25.708,232.0,,,
44,06/22/22 07:30:00 AM,25.805,448.0,,,
45,06/22/22 08:00:00 AM,25.902,256.0,,,
46,06/22/22 08:30:00 AM,26.000,512.0,,,
47,06/22/22 09:00:00 AM,26.097,352.0,,,
48,06/22/22 09:30:00 AM,26.195,464.0,,,
49,06/22/22 10:00:00 AM,26.292,512.0,,,
50,06/22/22 10:30:00 AM,26.488,400.0,,,
51,06/22/22 11:00:00 AM,26.585,336.0,,,
52,06/22/22 11:30:00 AM,26.683,320.0,,,
53,06/22/22 12:00:00 PM,26.781,304.0,,,
54,06/22/22 12:30:00 PM,26.977,288.0,,,
55,06/22/22 01:00:00 PM,27.370,448.0,,,
56,06/22/22 01:30:00 PM,27.468,512.0,,,
57,06/22/22 02:00:00 PM,27.665,992.0,,,
58,06/22/22 02:30:00 PM,27.961,512.0,,,
59,06/22/22 03:00:00 PM,28.060,768.0,,,
60,06/22/22 03:30:00 PM,28.159,672.0,,,
61,06/22/22 04:00:00 PM,28.258,480.0,,,
62,06/22/22 04:30:00 PM,28.159,1344.0,,,
63,06/22/22 05:00:00 PM,28.258,768.0,,,
64,06/22/22 05:30:00 PM,28.060,864.0,,,
65,06/22/22 06:00:00 PM,27.862,496.0,,,
66,06/22/22 06:30:00 PM,27.567,110.0,,,
67,06/22/22 07:00:00 PM,27.567,400.0,,,
68,06/22/22 07:30:00 PM,27.370,232.0,,,
69,06/22/22 08:00:00 PM,27.173,83.0,,,
70,06/22/22 08:30:00 PM,26.977,17.0,,,
71,06/22/22 09:00:00 PM,26.977,0.0,,,
72,06/22/22 09:30:00 PM,26.879,0.0,,,
73,06/22/22 10:00:00 PM,26.879,0.0,,,
74,06/22/22 10:30:00 PM,26.781,0.0,,,
75,06/22/22 11:00:00 PM,26.683,0.0,,,
76,06/22/22 11:30:00 PM,26.683,0.0,,,
77,06/23/22 12:00:00 AM,26.585,0.0,,,
78,06/23/22 12:30:00 AM,26.488,0.0,,,
79,06/23/22 01:00:00 AM,26.488,0.0,,,
80,06/23/22 01:30:00 AM,26.390,0.0,,,
