"Plot Title: 2.43"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 21086712, SEN S/N: 21086712)","Intensity, lum/ft² (LGR S/N: 21086712, SEN S/N: 21086712)","Coupler Attached (LGR S/N: 21086712)","Host Connected (LGR S/N: 21086712)","End Of File (LGR S/N: 21086712)"
1,06/21/22 10:00:00 AM,23.484,0.0,,,
2,06/21/22 10:30:00 AM,26.585,17.0,,,
3,06/21/22 11:00:00 AM,48.023,8192.0,,,
4,06/21/22 11:30:00 AM,48.554,232.0,,,
5,06/21/22 12:00:00 PM,38.602,5376.0,,,
6,06/21/22 12:30:00 PM,26.488,800.0,,,
7,06/21/22 01:00:00 PM,26.879,672.0,,,
8,06/21/22 01:30:00 PM,27.567,8704.0,,,
9,06/21/22 02:00:00 PM,28.159,5632.0,,,
10,06/21/22 02:30:00 PM,28.060,14336.0,,,
11,06/21/22 03:00:00 PM,28.357,2944.0,,,
12,06/21/22 03:30:00 PM,28.357,3584.0,,,
13,06/21/22 04:00:00 PM,27.961,4352.0,,,
14,06/21/22 04:30:00 PM,28.357,2944.0,,,
15,06/21/22 05:00:00 PM,28.060,1856.0,,,
16,06/21/22 05:30:00 PM,27.764,1920.0,,,
17,06/21/22 06:00:00 PM,27.764,960.0,,,
18,06/21/22 06:30:00 PM,27.567,768.0,,,
19,06/21/22 07:00:00 PM,26.879,160.0,,,
20,06/21/22 07:30:00 PM,27.075,576.0,,,
21,06/21/22 08:00:00 PM,26.879,208.0,,,
22,06/21/22 08:30:00 PM,27.075,31.0,,,
23,06/21/22 09:00:00 PM,27.370,0.0,,,
24,06/21/22 09:30:00 PM,27.173,0.0,,,
25,06/21/22 10:00:00 PM,27.075,0.0,,,
26,06/21/22 10:30:00 PM,26.879,0.0,,,
27,06/21/22 11:00:00 PM,26.585,0.0,,,
28,06/21/22 11:30:00 PM,26.390,0.0,,,
29,06/22/22 12:00:00 AM,26.195,0.0,,,
30,06/22/22 12:30:00 AM,26.000,0.0,,,
31,06/22/22 01:00:00 AM,25.902,0.0,,,
32,06/22/22 01:30:00 AM,25.708,0.0,,,
33,06/22/22 02:00:00 AM,25.610,0.0,,,
34,06/22/22 02:30:00 AM,25.513,0.0,,,
35,06/22/22 03:00:00 AM,25.416,0.0,,,
36,06/22/22 03:30:00 AM,25.319,0.0,,,
37,06/22/22 04:00:00 AM,25.319,0.0,,,
38,06/22/22 04:30:00 AM,25.125,0.0,,,
39,06/22/22 05:00:00 AM,25.125,0.0,,,
40,06/22/22 05:30:00 AM,25.028,26.0,,,
41,06/22/22 06:00:00 AM,24.931,75.0,,,
42,06/22/22 06:30:00 AM,24.835,91.0,,,
43,06/22/22 07:00:00 AM,24.738,120.0,,,
44,06/22/22 07:30:00 AM,24.738,168.0,,,
45,06/22/22 08:00:00 AM,24.835,240.0,,,
46,06/22/22 08:30:00 AM,24.835,208.0,,,
47,06/22/22 09:00:00 AM,25.028,304.0,,,
48,06/22/22 09:30:00 AM,25.319,480.0,,,
49,06/22/22 10:00:00 AM,25.610,448.0,,,
50,06/22/22 10:30:00 AM,25.708,464.0,,,
51,06/22/22 11:00:00 AM,25.805,416.0,,,
52,06/22/22 11:30:00 AM,26.097,256.0,,,
53,06/22/22 12:00:00 PM,26.390,216.0,,,
54,06/22/22 12:30:00 PM,26.585,288.0,,,
55,06/22/22 01:00:00 PM,26.879,464.0,,,
56,06/22/22 01:30:00 PM,27.173,304.0,,,
57,06/22/22 02:00:00 PM,27.468,384.0,,,
58,06/22/22 02:30:00 PM,27.665,272.0,,,
59,06/22/22 03:00:00 PM,27.862,216.0,,,
60,06/22/22 03:30:00 PM,28.060,1216.0,,,
61,06/22/22 04:00:00 PM,28.258,1152.0,,,
62,06/22/22 04:30:00 PM,28.357,480.0,,,
63,06/22/22 05:00:00 PM,28.357,272.0,,,
64,06/22/22 05:30:00 PM,28.357,576.0,,,
65,06/22/22 06:00:00 PM,28.357,216.0,,,
66,06/22/22 06:30:00 PM,28.258,48.0,,,
67,06/22/22 07:00:00 PM,28.060,59.0,,,
68,06/22/22 07:30:00 PM,27.862,48.0,,,
69,06/22/22 08:00:00 PM,27.764,37.0,,,
70,06/22/22 08:30:00 PM,27.567,8.0,,,
71,06/22/22 09:00:00 PM,27.468,0.0,,,
72,06/22/22 09:30:00 PM,27.272,0.0,,,
73,06/22/22 10:00:00 PM,27.173,0.0,,,
74,06/22/22 10:30:00 PM,26.977,0.0,,,
75,06/22/22 11:00:00 PM,26.977,0.0,,,
76,06/22/22 11:30:00 PM,26.781,0.0,,,
77,06/23/22 12:00:00 AM,26.683,0.0,,,
78,06/23/22 12:30:00 AM,26.585,0.0,,,
79,06/23/22 01:00:00 AM,26.585,0.0,,,
80,06/23/22 01:30:00 AM,26.488,0.0,,,
81,06/23/22 02:00:00 AM,26.292,0.0,,,
82,06/23/22 02:30:00 AM,26.292,0.0,,,
83,06/23/22 03:00:00 AM,26.195,0.0,,,
84,06/23/22 03:30:00 AM,26.097,0.0,,,
85,06/23/22 04:00:00 AM,25.902,0.0,,,
86,06/23/22 04:30:00 AM,25.805,0.0,,,
87,06/23/22 05:00:00 AM,25.708,0.0,,,
88,06/23/22 05:30:00 AM,25.513,7.0,,,
89,06/23/22 06:00:00 AM,25.416,24.0,,,
90,06/23/22 06:30:00 AM,25.319,35.0,,,
91,06/23/22 07:00:00 AM,25.319,71.0,,,
92,06/23/22 07:30:00 AM,25.319,192.0,,,
93,06/23/22 08:00:00 AM,25.416,192.0,,,
94,06/23/22 08:30:00 AM,25.513,256.0,,,
95,06/23/22 09:00:00 AM,25.708,126.0,,,
96,06/23/22 09:30:00 AM,25.902,121.0,,,
97,06/23/22 10:00:00 AM,27.370,8.0,,,
98,06/23/22 10:30:00 AM,26.585,896.0,,,
99,06/23/22 11:00:00 AM,26.879,768.0,,,
100,06/23/22 11:30:00 AM,27.173,800.0,,,
101,06/23/22 12:00:00 PM,27.567,864.0,,,
102,06/23/22 12:30:00 PM,27.961,768.0,,,
103,06/23/22 01:00:00 PM,28.456,496.0,,,
104,06/23/22 01:30:00 PM,28.555,272.0,,,
105,06/23/22 02:00:00 PM,28.754,272.0,,,
106,06/23/22 02:30:00 PM,29.552,1344.0,,,
107,06/23/22 03:00:00 PM,29.452,576.0,,,
108,06/23/22 03:30:00 PM,29.552,496.0,,,
109,06/23/22 04:00:00 PM,29.652,480.0,,,
110,06/23/22 04:30:00 PM,29.652,136.0,,,
111,06/23/22 05:00:00 PM,29.652,83.0,,,
112,06/23/22 05:30:00 PM,29.652,58.0,,,
113,06/23/22 06:00:00 PM,29.652,35.0,,,
114,06/23/22 06:30:00 PM,29.552,24.0,,,
115,06/23/22 07:00:00 PM,29.452,14.0,,,
116,06/23/22 07:30:00 PM,29.352,7.0,,,
117,06/23/22 08:00:00 PM,29.252,2.0,,,
118,06/23/22 08:30:00 PM,28.953,0.0,,,
119,06/23/22 09:00:00 PM,28.754,0.0,,,
120,06/23/22 09:30:00 PM,28.555,0.0,,,
121,06/23/22 10:00:00 PM,28.258,0.0,,,
122,06/23/22 10:30:00 PM,27.961,0.0,,,
123,06/23/22 11:00:00 PM,27.665,0.0,,,
124,06/23/22 11:30:00 PM,27.468,0.0,,,
125,06/24/22 12:00:00 AM,27.370,0.0,,,
126,06/24/22 12:30:00 AM,27.173,0.0,,,
127,06/24/22 01:00:00 AM,27.075,0.0,,,
128,06/24/22 01:30:00 AM,26.977,0.0,,,
129,06/24/22 02:00:00 AM,26.781,0.0,,,
130,06/24/22 02:30:00 AM,26.683,0.0,,,
131,06/24/22 03:00:00 AM,26.585,0.0,,,
132,06/24/22 03:30:00 AM,26.488,0.0,,,
133,06/24/22 04:00:00 AM,26.488,0.0,,,
134,06/24/22 04:30:00 AM,26.390,0.0,,,
135,06/24/22 05:00:00 AM,26.292,0.0,,,
136,06/24/22 05:30:00 AM,26.097,0.0,,,
